participantId,condition,timeSinceStartup,correctNodeHit,keypressed,calibrationData,bubbleSize,numberNodes,targetNode,currentSelectedNode
1,EYE,8.538202,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.555002,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.571838,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.588695,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.605656,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.622716,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.639406,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.656277,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.673002,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.689923,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.706728,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.72357,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.740309,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.757195,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.773945,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.790823,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.807523,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.824544,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.841247,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.858144,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.874926,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.891835,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.908613,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.925474,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.942859,,d,noCalibrationDataSet,10,150,70,125
1,EYE,8.959271,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.976211,,,noCalibrationDataSet,10,150,70,125
1,EYE,8.993041,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.013225,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.026562,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.043816,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.060412,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.077247,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.094043,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.114265,,,noCalibrationDataSet,10,150,70,125
1,EYE,9.12766,,,noCalibrationDataSet,10,150,70,125
