Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
6;8;2;6;1.756104;180;1;A;;BCABAA;;;;;;;;
6;8;2;7;2.044434;-180;1;D;BCABAAD;BCABAAD;0;1;1;1;1;1;1;1
6;9;2;1;1.322021;90;2;A;;A;;;;;;;;
6;9;2;2;0.9219971;108;1;D;;AD;;;;;;;;
6;9;2;3;0.8790283;90;1;A;;ADA;;;;;;;;
6;9;2;4;5.343872;-144;5;A;;ADAA;;;;;;;;
6;9;2;5;0.9121094;90;1;C;;ADAAC;;;;;;;;
6;9;2;6;0.9404297;-108;1;A;;ADAACA;;;;;;;;
6;9;2;7;1.918213;126;2;B;AACAABB;ADAACAB;4;1;0;0;1;0;0;1
6;10;2;1;1.366699;144;1;A;;A;;;;;;;;
6;10;2;2;2.766602;144;1;A;;AA;;;;;;;;
6;10;2;3;3.62207;-162;2;D;;AAD;;;;;;;;
6;10;2;4;2.49939;-180;1;B;;AADB;;;;;;;;
6;10;2;5;1.755127;126;1;A;;AADBA;;;;;;;;
6;10;2;6;1.110229;-108;1;C;;AADBAC;;;;;;;;
6;10;2;7;1.100708;108;1;B;AADBACB;AADBACB;0;1;1;1;1;1;1;1
6;1;3;1;0.8441162;-90;1;B;;B;;;;;;;;
6;1;3;2;1.145386;90;2;A;;BA;;;;;;;;
6;1;3;3;2.487061;-180;1;B;;BAB;;;;;;;;
6;1;3;4;1.476563;-126;1;A;;BABA;;;;;;;;
6;1;3;5;1.394165;144;1;B;;BABAB;;;;;;;;
6;1;3;6;1.211548;90;2;B;;BABABB;;;;;;;;
6;1;3;7;1.099121;90;2;C;BABABBC;BABABBC;0;1;1;1;1;1;1;1
6;2;3;1;0.8111572;-90;1;B;;B;;;;;;;;
6;2;3;2;1.844604;90;2;C;;BC;;;;;;;;
6;2;3;3;1.973511;108;1;D;;BCD;;;;;;;;
6;2;3;4;1.289307;126;2;C;;BCDC;;;;;;;;
6;2;3;5;1.044312;90;1;C;;BCDCC;;;;;;;;
6;2;3;6;3.023804;144;1;D;;BCDCCD;;;;;;;;
6;2;3;7;1.476563;90;2;D;BADCDDD;BCDCCDD;2;1;0;1;1;0;1;1
6;3;3;1;3.000366;-126;2;D;;D;;;;;;;;
6;3;3;2;3.744019;-126;2;D;;DD;;;;;;;;
6;3;3;3;1.989136;-108;1;A;;DDA;;;;;;;;
6;3;3;4;1.766479;144;1;B;;DDAB;;;;;;;;
6;3;3;5;2.433228;-144;1;C;;DDABC;;;;;;;;
6;3;3;6;3.855957;-144;2;B;;DDABCB;;;;;;;;
6;3;3;7;1.455078;-108;1;D;DDABCBD;DDABCBD;0;1;1;1;1;1;1;1
6;4;3;1;2.077881;126;1;A;;A;;;;;;;;
6;4;3;2;0.9440918;90;1;D;;AD;;;;;;;;
6;4;3;3;1.023193;-90;2;D;;ADD;;;;;;;;
6;4;3;4;1.054321;-162;1;B;;ADDB;;;;;;;;
6;4;3;5;1.166748;-90;1;B;;ADDBB;;;;;;;;
6;4;3;6;3.714966;-90;3;A;;ADDBBA;;;;;;;;
6;4;3;7;3.782104;-144;2;B;ADDBBAB;ADDBBAB;0;1;1;1;1;1;1;1
6;5;3;1;2.333862;180;1;C;;C;;;;;;;;
6;5;3;2;0.8446045;-126;1;B;;CB;;;;;;;;
6;5;3;3;2.344604;144;2;B;;CBB;;;;;;;;
6;5;3;4;2.745361;-90;3;C;;CBBC;;;;;;;;
6;5;3;5;2.599243;144;1;A;;CBBCA;;;;;;;;
6;5;3;6;1.779175;-126;2;B;;CBBCAB;;;;;;;;
6;5;3;7;1.603882;-90;1;B;CBBCABB;CBBCABB;0;1;1;1;1;1;1;1
6;6;3;1;2.522095;162;1;D;;D;;;;;;;;
6;6;3;2;1.121948;-90;2;C;;DC;;;;;;;;
6;6;3;3;0.9110107;-90;2;B;;DCB;;;;;;;;
